"video_id","title","channel","published_at","views","likes","comments","tags","duration_iso"
"3_l_eIBH-cw","Happy Mental Health Awareness Month","Bubble",2023-05-05,13448,602,64,NA,"PT40S"
"FgydBWmZ1pc","Cast of 'Ted Lasso' raises mental health awareness at White House","Reuters",2023-03-21,7047,191,NA,"reuters, news, top news, headlines, breaking news, news today, thomson reuters, reuters youtube, markets today, bloomberg, Ted Lasso, Jason Sudeikis, White House, daily briefing, mental health, mental health awareness, Karine Jean-Pierre","PT30S"
"Wxdl_HUlyv8","World Mental Health Day | Ziauddin University #shorts #viral","Girly_things",2023-10-23,7670,59,0,NA,"PT11S"
"xuRH9kjXovE","Mens mental health month more important 😤 #invincible #pride #pridemonth #mensmentalhealth","Manny From Ice Age ",2024-06-15,111251,NA,1170,NA,"PT8S"
"xDJEYxCmh-g","Community 5K honors teen who died at 16, promotes mental health awareness","WTVR CBS 6",2025-08-26,97,7,0,"Richmond, Virginia","PT1M22S"
"p823C0ZQZeE","Mental Health Awareness Week","MCPS-MD",2019-11-15,3486,NA,0,"MCPS, Montgomery County Public Schools, BeWell365, mental health","PT2M10S"
"iV7VITplCwg","#mentalhealth #mentalhealthawareness #june #shorts","pocket wisdom",2025-06-19,1553,17,4,NA,"PT10S"
"i3aLy7j2LBY","Mental Health Awareness Advocacy Video (LDCU G11 ABM5)","Kiah Pabayo",2022-11-18,45747,445,2,NA,"PT6M19S"
"5zCNMDfbzpc","Bebe Moore Campbell National Minority Mental Health Awareness Month","NAMI California",2018-06-20,4455,NA,NA,NA,"PT4M5S"
"WdjpHJuhU_0","World Mental Health Day 2025 | #DrishtiIASEnglish | shorts #mentalhealth #worldmentalhealthday2025","Drishti IAS : English",2025-10-10,9597,507,2,"Mental Health, World Mental Health Day, Mental Health Awareness, Mental Health in Crises, Humanitarian Emergencies, Migrants Mental Health, Mental Health Support, Crisis Management, Mental Health Stigma, Emotional Distress, Refugee Mental Health, Displacement, Mental Health Care, Mental Health Recovery, Community-Based Mental Health, Coping Mechanisms, Migrant Mental Health Support, Mental Well-being, drishti ias english, drishti ias english shorts","PT1M3S"
